"";"mandante";"visitante";"time"
"331";"ATL";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"332";"CHA";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"333";"RED";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"334";"BAH";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"335";"INT";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"336";"FOR";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"337";"ATL";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"338";"SAO";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"339";"COR";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"340";"FLU";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"341";"SPO";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"342";"ATL";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"343";"JUV";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"344";"ATH";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"345";"CEA";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"346";"GRE";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"347";"AME";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"348";"SAN";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"349";"PAL";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"350";"FLU";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"351";"INT";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"352";"ATL";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"353";"SAO";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"354";"COR";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"355";"FLA";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"356";"BAH";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"357";"FOR";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"358";"RED";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"359";"CHA";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"360";"CUI";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"361";"CUI";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"362";"CHA";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"363";"ATH";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"364";"BAH";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"365";"CEA";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"366";"INT";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"367";"ATL";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"368";"SAO";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"369";"COR";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"370";"FLA";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
